epoch,accuracy,loss,val_accuracy,val_loss
0,0.995479941368103,0.013986222445964813,NA,NA
1,0.9975588321685791,0.008481109514832497,NA,NA
2,0.9980769753456116,0.006970420945435762,NA,NA
3,0.9983239769935608,0.006143107544630766,NA,NA
4,0.9985345005989075,0.005780996289104223,NA,NA
5,0.9986276030540466,0.005060330964624882,NA,NA
6,0.9987591505050659,0.004859547596424818,NA,NA
7,0.9987733364105225,0.004431328270584345,NA,NA
8,0.9988016486167908,0.004389723297208548,NA,NA
9,0.9988036751747131,0.004204137716442347,NA,NA
10,0.99889075756073,0.003880726173520088,NA,NA
11,0.9989575147628784,0.0037687658332288265,NA,NA
12,0.9989028573036194,0.0038247639313340187,NA,NA
13,0.998949408531189,0.0036377946380525827,NA,NA
14,0.998945415019989,0.0037138229236006737,NA,NA
15,0.9989899396896362,0.0033989064395427704,NA,NA
16,0.9989818334579468,0.0034366194158792496,NA,NA
17,0.9990243315696716,0.00391361303627491,NA,NA
18,0.9990162253379822,0.0032358646858483553,NA,NA
19,0.9990526437759399,0.0032816207967698574,NA,NA
20,0.9990546703338623,0.0033077660482376814,NA,NA
21,0.9991255402565002,0.003100417088717222,NA,NA
22,0.9991012811660767,0.003340472001582384,NA,NA
23,0.9991052746772766,0.0030453463550657034,NA,NA
24,0.9990445971488953,0.0032576005905866623,NA,NA
25,0.9991741180419922,0.002766143763437867,NA,NA
26,0.9991235136985779,0.0028237411752343178,NA,NA
27,0.9991397261619568,0.002860760549083352,NA,NA
28,0.9991862773895264,0.0029820736963301897,NA,NA
29,0.9992247223854065,0.0028715836815536022,NA,NA
30,0.9991397261619568,0.0032777416054159403,NA,NA
31,0.9992145895957947,0.002757515525445342,NA,NA
32,0.9992064833641052,0.0025684726424515247,NA,NA
33,0.9992186427116394,0.003010641084983945,NA,NA
34,0.9992976188659668,0.0025504925288259983,NA,NA
35,0.999184250831604,0.0027128506917506456,NA,NA
36,0.9992814064025879,0.0028178191278129816,NA,NA
37,0.9992712736129761,0.0025915908627212048,NA,NA
38,0.9991801977157593,0.0029550606850534678,NA,NA
39,0.9992470145225525,0.0025592180900275707,NA,NA
40,0.9992064833641052,0.0029873482417315245,NA,NA
41,0.9992287755012512,0.0025962721556425095,NA,NA
42,0.9992449879646301,0.008333040401339531,NA,NA
43,0.9992692470550537,0.0027448192704468966,NA,NA
44,0.9993036985397339,0.0026457328349351883,NA,NA
45,0.9992530941963196,0.0031924203503876925,NA,NA
46,0.9993502497673035,0.0026179386768490076,NA,NA
47,0.9992935657501221,0.003027193946763873,NA,NA
48,0.9992449879646301,0.00281614251434803,NA,NA
49,0.9992470145225525,0.0026418028865009546,NA,NA
50,0.9993137717247009,0.0035092623438686132,NA,NA
51,0.9992692470550537,0.0035528307780623436,NA,NA
52,0.9993320107460022,0.002774901455268264,NA,NA
53,0.9993340373039246,0.0020527299493551254,NA,NA
54,0.9993299841880798,0.0022930128034204245,NA,NA
55,0.9992530941963196,0.0043517593294382095,NA,NA
56,0.9993765354156494,0.0022048826795071363,NA,NA
57,0.9993482232093811,0.003954510670155287,NA,NA
58,0.9994109272956848,0.0019362919265404344,NA,NA
59,0.999423086643219,0.002665627747774124,NA,NA
60,0.9993623495101929,0.002158891875296831,NA,NA
61,0.999423086643219,0.002112758345901966,NA,NA
62,0.9994190335273743,0.003784073516726494,NA,NA
63,0.9994251132011414,0.001997302519157529,NA,NA
64,0.9994049072265625,0.0042953393422067165,NA,NA
65,0.9994291663169861,0.00488846143707633,NA,NA
66,0.9994170069694519,0.0033389064483344555,NA,NA
67,0.9994635581970215,0.0020741012413054705,NA,NA
68,0.9993461966514587,0.004247130360454321,NA,NA
69,0.9994271397590637,0.002194049535319209,NA,NA
70,0.9994251132011414,0.0025215009227395058,NA,NA
71,0.9994959831237793,0.0020193192176520824,NA,NA
72,0.9994129538536072,0.002470355946570635,NA,NA
73,0.9993603229522705,0.0027539548464119434,NA,NA
74,0.9994858503341675,0.0019792290404438972,NA,NA
75,0.9994251132011414,0.0023793112486600876,NA,NA
76,0.9994190335273743,0.005258762277662754,NA,NA
77,0.9994474053382874,0.0024211446288973093,NA,NA
78,0.9993765354156494,0.002179922768846154,NA,NA
79,0.9994190335273743,0.0031060841865837574,NA,NA
80,0.9994352459907532,0.0025771502405405045,NA,NA
81,0.9994494318962097,0.005023925099521875,NA,NA
82,0.9994392991065979,0.002199319889768958,NA,NA
83,0.9994271397590637,0.0024144849739968777,NA,NA
84,0.9994757175445557,0.002201514318585396,NA,NA
85,0.9994899034500122,0.0022670242469757795,NA,NA
86,0.999500036239624,0.002503783907741308,NA,NA
87,0.9995303750038147,0.00169930059928447,NA,NA
88,0.9994575381278992,0.0036797409411519766,NA,NA
89,0.9994959831237793,0.0019100687932223082,NA,NA
90,0.9994676113128662,0.002861554967239499,NA,NA
91,0.999445378780365,0.008652016520500183,NA,NA
92,0.9994332194328308,0.0022333008237183094,NA,NA
93,0.9994372725486755,0.0027840840630233288,NA,NA
94,0.9994210600852966,0.0022316130343824625,NA,NA
95,0.9993765354156494,0.0034864842891693115,NA,NA
96,0.9993563294410706,0.005021836142987013,NA,NA
97,0.9995040893554688,0.001626055222004652,NA,NA
98,0.9995303750038147,0.0028231139294803143,NA,NA
99,0.9992530941963196,0.004994491580873728,NA,NA
